time, gyroscope.X, gyroscope.Y, gyroscope.Z, accelerometer.X, accelerometer.Y, accelerometer.Z, magnetometer.X, magnetometer.Y, magnetometer.Z 
0.25781,-0.6875,-0.8125,-1.375,0.003418,-0.063965,1.0015,0.20215,0.043457,-0.44873
0.26172,-1.1875,-0.6875,-1.3125,0.01123,-0.071777,0.98193,0.20215,0.043457,-0.44873
0.26562,-1.4375,-0.375,-1.4375,0.019043,-0.052246,0.99756,0.20215,0.043457,-0.44873
0.26953,-1.3125,-0.1875,-1.625,0.015137,-0.063965,0.98584,0.20215,0.043457,-0.44873
0.27344,-0.8125,-0.0625,-1.75,0.01123,-0.044434,1.0015,0.20215,0.043457,-0.44873
0.27734,-0.4375,0.25,-1.8125,0,-0.028809,0.98975,0.20752,0.041016,-0.43848
0.28125,0,0.625,-1.75,0.019043,-0.01709,1.0166,0.20752,0.041016,-0.43848
0.28516,-0.375,1.1875,-1.5625,0.003418,-0.036621,1.0322,0.20752,0.041016,-0.43848
0.28906,-0.5,1.125,-1.5625,0.015137,-0.028809,1.0054,0.20508,0.043457,-0.44629
0.29297,-0.75,1.5,-1.125,0.003418,-0.036621,0.98193,0.20508,0.043457,-0.44629
0.29688,-1.125,1.3125,-0.6875,0.015137,-0.067871,1.0054,0.20508,0.043457,-0.44629
0.30078,-1.5625,1.1875,-0.1875,0.015137,-0.052246,1.0054,0.20508,0.043457,-0.44629
0.30469,-1.3125,0.75,0.125,0.0073242,-0.052246,1.0205,0.2124,0.03125,-0.44385
0.30859,-0.75,0.25,0.3125,0.01123,-0.04834,0.99756,0.2124,0.03125,-0.44385
0.3125,-0.3125,-0.1875,0.375,0.019043,-0.044434,1.0054,0.2124,0.03125,-0.44385
0.31641,-0.4375,-0.3125,0.75,-0.0039062,-0.067871,0.98975,0.21484,0.038574,-0.44629
0.32031,-0.625,-0.0625,1,0.019043,-0.056152,1.0054,0.21484,0.038574,-0.44629
0.32422,-0.25,0,1.4375,0.01123,-0.04834,0.98975,0.21484,0.038574,-0.44629
0.32812,-0.3125,0,1.9375,0.019043,-0.040527,0.99365,0.19238,0.033691,-0.44141
0.33203,-0.8125,0.0625,1.625,0.030762,-0.052246,1.0054,0.19238,0.033691,-0.44141
0.33594,-1.0625,0,1.375,0,-0.028809,0.98975,0.19238,0.033691,-0.44141
0.33984,-1.1875,-0.375,1.375,0.019043,-0.04834,1.0015,0.19238,0.033691,-0.44141
0.34375,-1.25,-0.625,0.9375,0.019043,-0.052246,1.0127,0.19971,0.04834,-0.44385
0.34766,-0.625,-0.9375,0.6875,0.01123,-0.044434,1.0015,0.19971,0.04834,-0.44385
0.35156,-0.25,-0.9375,0.5625,0.015137,-0.04834,0.98584,0.19971,0.04834,-0.44385
0.35547,-0.3125,-0.75,0.3125,0.01123,-0.040527,0.98584,0.20752,0.041016,-0.43848
0.35938,-0.5625,-0.25,0.0625,0.022949,-0.044434,0.98584,0.20752,0.041016,-0.43848
0.36328,-1,-0.0625,0.25,0.022949,-0.067871,1.0054,0.20752,0.041016,-0.43848
0.36719,-1.1875,0,0,0.019043,-0.04834,1.0015,0.20752,0.041016,-0.43848
0.37109,-0.8125,0.0625,-0.3125,0.019043,-0.052246,0.99365,0.20752,0.041016,-0.43848
0.375,-0.4375,0.3125,-0.5625,0.019043,-0.056152,0.98975,0.20752,0.041016,-0.43848
0.37891,-0.3125,0.375,-0.5,0.019043,-0.032715,0.99756,0.20752,0.041016,-0.43848
0.38281,-0.25,0.875,-0.625,0.019043,-0.04834,0.97803,0.2124,0.038574,-0.44629
0.38672,-0.3125,1.3125,-0.5625,-0.0039062,-0.036621,1.0015,0.2124,0.038574,-0.44629
0.39062,-0.75,1.25,-0.6875,-0.0039062,-0.052246,1.0166,0.2124,0.038574,-0.44629
0.39453,-0.75,1.25,-0.5625,0.015137,-0.056152,1.0054,0.20996,0.025879,-0.45117
0.39844,-0.875,1.8125,-0.25,0.003418,-0.056152,1.0166,0.20996,0.025879,-0.45117
0.40234,-1.375,2.1875,0,0,-0.040527,1.0054,0.20996,0.025879,-0.45117
0.40625,-1.25,2.5,-0.125,0.003418,-0.036621,0.98975,0.20996,0.025879,-0.45117
0.41016,-1.25,2.875,-0.1875,0.022949,-0.036621,1.0054,0.20215,0.038574,-0.44629
0.41406,-0.9375,3.1875,-0.125,0,-0.040527,1.0244,0.20215,0.038574,-0.44629
0.41797,-0.875,2.9375,-0.125,0.01123,-0.044434,0.99365,0.20215,0.038574,-0.44629
0.42188,-1.0625,3.1875,0,0.0073242,-0.056152,1.0093,0.2124,0.043457,-0.44629
0.42578,-0.875,3,0,-0.0039062,-0.036621,0.99365,0.2124,0.043457,-0.44629
0.42969,-1,3,0.5625,0.01123,-0.071777,1.0283,0.2124,0.043457,-0.44629
0.43359,-1.25,3,0.4375,0.01123,-0.063965,1.0093,0.2124,0.043457,-0.44629
0.4375,-0.875,3.125,0.875,0.022949,-0.056152,1.0093,0.2124,0.043457,-0.44629
0.44141,-0.5,2.875,0.9375,0.0073242,-0.04834,1.0015,0.2124,0.043457,-0.44629
0.44531,-0.0625,2.9375,1.125,0.022949,-0.071777,1.0054,0.2124,0.043457,-0.44629
0.44922,0.25,2.9375,1.1875,0.019043,-0.063965,0.98193,0.20752,0.038574,-0.45361
0.45312,-0.125,3.125,1.5,0.019043,-0.071777,0.98193,0.20752,0.038574,-0.45361
0.45703,-0.4375,3.125,1.4375,0.019043,-0.060059,1.0127,0.20752,0.038574,-0.45361
0.46094,-0.875,3.625,1.8125,0.015137,-0.052246,0.97803,0.20752,0.038574,-0.44873
0.46484,-0.4375,3.5625,1.9375,0.022949,-0.063965,0.97412,0.20752,0.038574,-0.44873
0.46875,-0.1875,4.125,1.8125,0.022949,-0.044434,1.0054,0.20752,0.038574,-0.44873
0.47266,0.1875,4.25,1.6875,0,-0.060059,1.0015,0.20752,0.038574,-0.44873
0.47656,-0.0625,4.375,1.5625,0.01123,-0.067871,1.0054,0.20996,0.033691,-0.44629
0.48047,-0.375,4.3125,1.875,0.01123,-0.071777,0.97803,0.20996,0.033691,-0.44629
0.48438,-0.9375,4.3125,2,0.026855,-0.063965,0.98584,0.20996,0.033691,-0.44629
0.48828,-1.4375,4.3125,1.75,0.015137,-0.052246,0.9707,0.2124,0.033691,-0.43848
0.49219,-1.3125,3.625,1.3125,0.003418,-0.060059,0.98193,0.2124,0.033691,-0.43848
0.49609,-1.1875,3.25,0.6875,0.019043,-0.060059,0.98975,0.2124,0.033691,-0.43848
0.5,-0.5625,2.6875,0.1875,0.022949,-0.052246,0.97412,0.20508,0.03125,-0.44141
0.50391,-0.625,2.25,-0.0625,0.0073242,-0.067871,1.0015,0.20508,0.03125,-0.44141
0.50781,-0.5625,2.25,-0.25,-0.0078125,-0.071777,1.0054,0.20508,0.03125,-0.44141
0.51172,-0.875,2.4375,-0.375,0.003418,-0.056152,1.0166,0.20508,0.03125,-0.44141
0.51562,-0.9375,2.875,-0.5,0.019043,-0.052246,1.0093,0.2124,0.038574,-0.45654
0.51953,-0.5625,2.9375,-0.3125,0.019043,-0.052246,1.0205,0.2124,0.038574,-0.45654
0.52344,-0.5,3.25,-0.3125,0.019043,-0.060059,1.0054,0.2124,0.038574,-0.45654
0.52734,-0.25,3.4375,-0.4375,0.0073242,-0.060059,1.0205,0.20752,0.041016,-0.44629
0.53125,-0.125,3.9375,-0.25,-0.031738,-0.056152,0.98584,0.20752,0.041016,-0.44629
0.53516,-0.5,4,-0.125,-0.0078125,-0.083496,1.0093,0.20752,0.041016,-0.44629
0.53906,-0.9375,3.8125,-0.375,0,-0.04834,1.0205,0.20752,0.041016,-0.44629
0.54297,-1,4,-0.375,0.0073242,-0.036621,0.99756,0.20752,0.041016,-0.44629
0.54688,-0.9375,3.875,0,0,-0.067871,1.0093,0.20752,0.041016,-0.44629
0.55078,-1.1875,3.9375,0,0.019043,-0.052246,1.0015,0.20752,0.041016,-0.44629
0.55469,-1.5,4.375,0.375,0.01123,-0.067871,1.0127,0.20752,0.028809,-0.44385
0.55859,-1.5625,4,0.875,0.019043,-0.052246,1.0093,0.20752,0.028809,-0.44385
0.5625,-1.5625,4.0625,1,0.0073242,-0.067871,1.0093,0.20752,0.028809,-0.44385
0.56641,-1.5625,3.625,1.0625,0,-0.052246,0.97803,0.21484,0.036133,-0.44629
0.57031,-1.625,3.0625,1.5625,0.0073242,-0.060059,0.98193,0.21484,0.036133,-0.44629
0.57422,-1.625,2.8125,1.4375,0.015137,-0.040527,0.98975,0.21484,0.036133,-0.44629
0.57812,-1.875,2.8125,1.5625,0.019043,-0.060059,0.99365,0.21484,0.036133,-0.44629
0.58203,-1.1875,2.3125,1.5,0.0073242,-0.044434,0.98975,0.21777,0.036133,-0.44141
0.58594,-0.5625,2.0625,1.25,-0.0078125,-0.044434,1.0054,0.21777,0.036133,-0.44141
0.58984,0,2,1.1875,-0.012207,-0.044434,1.0054,0.21777,0.036133,-0.44141
0.59375,0.375,2.0625,0.9375,0.003418,-0.060059,0.98584,0.21484,0.041016,-0.44141
0.59766,0.25,2.1875,1,-0.016113,-0.063965,1.0054,0.21484,0.041016,-0.44141
0.60156,-0.1875,2.5,0.6875,0.003418,-0.04834,1.0015,0.21484,0.041016,-0.44141
0.60547,0,2.6875,0.0625,0.0073242,-0.052246,0.98584,0.21484,0.041016,-0.44141
0.60938,0,3.1875,0,0.019043,-0.056152,0.98975,0.21484,0.041016,-0.44141
0.61328,0.1875,3.5,-0.4375,0,-0.044434,1.0093,0.21484,0.041016,-0.44141
0.61719,0.125,3.4375,-0.5625,0.01123,-0.04834,1.0127,0.21484,0.041016,-0.44141
0.62109,0.3125,3.875,-0.4375,0.019043,-0.063965,1.0093,0.2124,0.041016,-0.44629
0.625,0.3125,4.0625,-0.75,0.019043,-0.04834,1.0054,0.2124,0.041016,-0.44629
0.62891,0.5625,4.1875,-0.8125,0.003418,-0.060059,0.98584,0.2124,0.041016,-0.44629
0.63281,1,4.25,-1.1875,0.015137,-0.040527,0.99365,0.22266,0.033691,-0.44385
0.63672,1,4.5625,-1.25,0.026855,-0.024902,1.0205,0.22266,0.033691,-0.44385
0.64062,1.625,4.5,-1.5,0,-0.04834,1.0015,0.22266,0.033691,-0.44385
0.64453,1.9375,4.5625,-1.1875,0.0073242,-0.056152,1.0166,0.22266,0.033691,-0.44385
0.64844,1.625,5,-1,0.019043,-0.063965,1.0093,0.2124,0.041016,-0.44385
0.65234,1.5625,5.3125,-1.1875,0.019043,-0.04834,1.0054,0.2124,0.041016,-0.44385
0.65625,1.625,5.5625,-1.125,-0.016113,-0.040527,0.98975,0.2124,0.041016,-0.44385
0.66016,1.5625,5.75,-0.8125,0,-0.040527,1.0205,0.21777,0.041016,-0.44629
0.66406,1.4375,5.75,-0.8125,-0.02002,-0.036621,1.0127,0.21777,0.041016,-0.44629
0.66797,1.125,6.125,-0.625,0.003418,-0.052246,1.0127,0.21777,0.041016,-0.44629
0.67188,1.25,6.125,-0.6875,-0.0078125,-0.056152,0.97412,0.2124,0.038574,-0.44629
0.67578,0.5625,6.5,-0.1875,0.003418,-0.075684,1.0093,0.2124,0.038574,-0.44629
0.67969,-0.0625,6.8125,-0.4375,0.003418,-0.060059,1.0015,0.2124,0.038574,-0.44629
0.68359,-0.5625,8.3125,-0.875,-0.0039062,-0.067871,1.0054,0.2124,0.038574,-0.44629
0.6875,-1,7.5625,0.0625,0,-0.040527,1.0127,0.21777,0.043457,-0.44141
0.69141,-0.6875,7.6875,0.25,-0.016113,-0.060059,1.0015,0.21777,0.043457,-0.44141
0.69531,0.5,7.0625,0,-0.0039062,-0.044434,0.98193,0.21777,0.043457,-0.44141
0.69922,1.5625,6.125,0.1875,0.003418,-0.060059,0.97803,0.22021,0.033691,-0.44629
0.70312,1.75,5.375,0,-0.012207,-0.044434,1.0093,0.22021,0.033691,-0.44629
0.70703,1.6875,4.875,0,0.003418,-0.044434,0.98193,0.22021,0.033691,-0.44629
0.71094,1.4375,4.875,0,-0.016113,-0.056152,0.98975,0.22021,0.033691,-0.44629
0.71484,1.75,4.5625,-0.25,-0.016113,-0.067871,0.97803,0.22021,0.033691,-0.44629
0.71875,2.125,4.3125,-0.5,-0.0039062,-0.067871,0.99365,0.22021,0.033691,-0.44629
0.72266,2.375,3.9375,-0.3125,-0.012207,-0.056152,0.98193,0.22021,0.033691,-0.44629
0.72656,2.375,4,-0.0625,-0.012207,-0.063965,0.97412,0.21777,0.033691,-0.44385
0.73047,2.125,4.0625,0,-0.012207,-0.052246,0.99365,0.21777,0.033691,-0.44385
0.73438,2.125,4,-0.25,-0.023926,-0.071777,1.0166,0.21777,0.033691,-0.44385
0.73828,2.125,3.875,-0.0625,-0.031738,-0.032715,1.0015,0.2124,0.028809,-0.43604
0.74219,1.9375,3.8125,-0.125,-0.016113,-0.060059,1.0015,0.2124,0.028809,-0.43604
0.74609,2.3125,3.8125,0.1875,-0.016113,-0.071777,1.0015,0.2124,0.028809,-0.43604
0.75,2.4375,4.0625,0.625,-0.012207,-0.052246,0.98584,0.2124,0.028809,-0.43604
0.75391,1.75,3.9375,0.625,0.01123,-0.060059,0.98584,0.21484,0.041016,-0.44141
0.75781,1.125,3.8125,0.4375,0.019043,-0.075684,0.99365,0.21484,0.041016,-0.44141
0.76172,0.9375,3.5625,0.5625,0.003418,-0.075684,0.97803,0.21484,0.041016,-0.44141
0.76562,0.0625,2.5625,0.75,-0.0039062,-0.044434,1.0093,0.2124,0.033691,-0.44141
0.76953,-0.0625,1.6875,0.625,0.019043,-0.060059,0.99365,0.2124,0.033691,-0.44141
0.77344,-0.0625,0.75,0.3125,0,-0.044434,1.0015,0.2124,0.033691,-0.44141
0.77734,0.8125,0.0625,0.25,-0.016113,-0.060059,0.98584,0.2124,0.033691,-0.44141
0.78125,1.25,-0.125,0,-0.023926,-0.044434,1.0166,0.2124,0.033691,-0.44141
0.78516,1.5625,-0.4375,-0.125,-0.027832,-0.04834,1.0054,0.2124,0.033691,-0.44141
0.78906,2.3125,-1,-0.125,-0.02002,-0.032715,0.98975,0.2124,0.033691,-0.44141
0.79297,2.875,-0.9375,-0.5,-0.0078125,-0.024902,0.98193,0.21484,0.033691,-0.44141
0.79688,3.375,-1.1875,-0.8125,0,-0.032715,0.98584,0.21484,0.033691,-0.44141
0.80078,3.5625,-1,-0.625,0.003418,-0.052246,1.0127,0.21484,0.033691,-0.44141
0.80469,2.75,-0.375,-0.625,-0.027832,-0.052246,0.97803,0.21484,0.038574,-0.43359
0.80859,2.3125,-0.1875,-0.5,0.003418,-0.044434,1.0093,0.21484,0.038574,-0.43359
0.8125,2.4375,-0.25,-0.5,-0.02002,-0.056152,1.0015,0.21484,0.038574,-0.43359
0.81641,2.25,-0.125,-0.5,-0.027832,-0.040527,0.98584,0.21484,0.038574,-0.43359
0.82031,1.5625,-0.4375,-0.1875,-0.0039062,-0.04834,0.97412,0.21484,0.036133,-0.43848
0.82422,1.3125,-0.1875,-0.125,-0.012207,-0.056152,1.0015,0.21484,0.036133,-0.43848
0.82812,0.9375,-0.5,0.125,-0.0039062,-0.056152,0.97803,0.21484,0.036133,-0.43848
0.83203,1.25,-0.9375,0.0625,-0.012207,-0.04834,0.98584,0.21484,0.033691,-0.44629
0.83594,1.5625,-1.25,0.4375,-0.031738,-0.056152,1.0093,0.21484,0.033691,-0.44629
0.83984,1.4375,-1.125,0.375,-0.0039062,-0.056152,0.97803,0.21484,0.033691,-0.44629
0.84375,1.3125,-1.25,0.1875,-0.012207,-0.056152,0.99365,0.2124,0.023438,-0.44385
0.84766,1.75,-1,0.0625,-0.012207,-0.040527,1.0166,0.2124,0.023438,-0.44385
0.85156,1.625,-0.875,0.25,-0.027832,-0.052246,0.98193,0.2124,0.023438,-0.44385
0.85547,1.75,-0.5,0.1875,-0.023926,-0.063965,0.98584,0.2124,0.023438,-0.44385
0.85938,1.9375,-0.5,0.1875,-0.0078125,-0.04834,0.98584,0.22266,0.025879,-0.45898
0.86328,1.375,-0.1875,0.3125,-0.0078125,-0.060059,1.0166,0.22266,0.025879,-0.45898
0.86719,1.1875,-0.4375,0.125,-0.023926,-0.052246,1.0015,0.22266,0.025879,-0.45898
0.87109,1.25,-0.875,0.1875,0.01123,-0.056152,0.99365,0.22021,0.033691,-0.44141
0.875,0.375,-0.8125,-0.125,-0.016113,-0.040527,1.0015,0.22021,0.033691,-0.44141
0.87891,0.1875,-0.6875,-0.125,-0.016113,-0.071777,0.99365,0.22021,0.033691,-0.44141
0.88281,0.25,-1.0625,-0.0625,-0.016113,-0.036621,1.0054,0.22021,0.033691,-0.44141
0.88672,0.375,-1.0625,-0.3125,-0.012207,-0.044434,1.0015,0.22021,0.033691,-0.44141
0.89062,0.0625,-1.3125,0,-0.012207,-0.044434,0.98975,0.22021,0.033691,-0.44141
0.89453,0.1875,-1.375,-0.3125,-0.0039062,-0.044434,1.0093,0.22021,0.033691,-0.44141
0.89844,0.5,-1.625,-0.375,0,-0.052246,1.0093,0.22266,0.036133,-0.44141
0.90234,0.5,-1.5625,-0.6875,0,-0.04834,1.0093,0.22266,0.036133,-0.44141
0.90625,0.6875,-1.875,-0.875,-0.012207,-0.040527,0.98584,0.22266,0.036133,-0.44141
0.91016,0.625,-2.0625,-0.875,-0.023926,-0.052246,0.98975,0.22266,0.033691,-0.44873
0.91406,1.5625,-2.0625,-1.0625,-0.02002,-0.036621,1.0093,0.22266,0.033691,-0.44873
0.91797,1.8125,-1.9375,-1.1875,-0.0039062,-0.056152,0.98193,0.22266,0.033691,-0.44873
0.92188,2.5,-1.8125,-1.1875,-0.02002,-0.060059,1.0127,0.22266,0.033691,-0.44873
0.92578,2.6875,-1.3125,-1.4375,-0.031738,-0.052246,0.99365,0.21484,0.033691,-0.44141
0.92969,2.875,-0.8125,-1.3125,-0.0078125,-0.044434,0.98584,0.21484,0.033691,-0.44141
0.93359,2.6875,-0.5625,-1.3125,0.0073242,-0.036621,1.0093,0.21484,0.033691,-0.44141
0.9375,2.9375,0,-1,-0.023926,-0.036621,1.0054,0.20996,0.043457,-0.44629
0.94141,3.125,0.375,-1.125,-0.031738,-0.052246,1.0054,0.20996,0.043457,-0.44629
0.94531,2.6875,0.5625,-1,-0.0039062,-0.060059,1.0054,0.20996,0.043457,-0.44629
0.94922,2.125,0.8125,-0.9375,0.003418,-0.04834,1.0093,0.20996,0.043457,-0.44629
0.95312,1.8125,1.1875,-1,-0.02002,-0.040527,0.99365,0.20996,0.043457,-0.44629
0.95703,1.5,1.6875,-0.75,0,-0.063965,1.0015,0.20996,0.043457,-0.44629
0.96094,1.5625,2.1875,-0.875,-0.023926,-0.052246,1.0093,0.20996,0.043457,-0.44629
0.96484,1.375,2,-0.75,-0.031738,-0.063965,0.98584,0.21484,0.033691,-0.44385
0.96875,1.1875,2,-0.625,-0.012207,-0.063965,1.0054,0.21484,0.033691,-0.44385
0.97266,0.8125,2.1875,-0.5,0.019043,-0.044434,0.98975,0.21484,0.033691,-0.44385
0.97656,0.75,1.5625,-0.875,0.0073242,-0.036621,1.0015,0.22021,0.025879,-0.43604
0.98047,0.9375,0.875,-1.125,-0.0039062,-0.040527,0.98584,0.22021,0.025879,-0.43604
0.98438,1.5,0.3125,-1.4375,-0.016113,-0.032715,1.0054,0.22021,0.025879,-0.43604
0.98828,1.4375,-0.3125,-1.875,-0.0078125,-0.040527,0.97412,0.22021,0.025879,-0.43604
0.99219,1.25,-0.5625,-2,0.019043,-0.040527,0.97412,0.22754,0.03125,-0.43604
0.99609,0.8125,-0.8125,-1.75,0,-0.036621,0.9707,0.22754,0.03125,-0.43604
1,0.3125,-1.0625,-1.6875,-0.0039062,-0.044434,1.0093,0.22754,0.03125,-0.43604
1.0039,0.0625,-1.375,-1.8125,-0.02002,-0.020996,0.99756,0.21484,0.03125,-0.44385
1.0078,0.1875,-1.25,-1.6875,0,-0.04834,0.98975,0.21484,0.03125,-0.44385
1.0117,-0.375,-1.0625,-1.25,-0.02002,-0.040527,1.0093,0.21484,0.03125,-0.44385
1.0156,-0.5625,-0.875,-1.3125,-0.012207,-0.044434,0.97412,0.21484,0.038574,-0.43604
1.0195,-1.0625,-1.25,-1.5625,-0.016113,-0.04834,1.0093,0.21484,0.038574,-0.43604
1.0234,-0.6875,-1.6875,-1.25,0,-0.056152,1.0015,0.21484,0.038574,-0.43604
1.0273,-0.1875,-1.375,-0.9375,0,-0.075684,1.0015,0.21484,0.038574,-0.43604
1.0312,0.1875,-1.3125,-0.3125,-0.012207,-0.056152,1.0166,0.22754,0.033691,-0.43359
1.0352,0.4375,-0.5625,-0.125,-0.016113,-0.052246,0.98584,0.22754,0.033691,-0.43359
1.0391,0.5,-0.0625,-0.3125,-0.02002,-0.044434,0.98193,0.22754,0.033691,-0.43359
